"No.","Time","Source","Destination","Protocol","Length","Info"
"11","0.131049485","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4007:816::2003","TLSv1.3","603","Client Hello"
"15","0.239899009","2404:6800:4007:816::2003","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","1294","Server Hello, Change Cipher Spec"
"20","0.244521230","2404:6800:4007:816::2003","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","695","Application Data"
"25","0.253923303","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4007:816::2003","TLSv1.3","150","Change Cipher Spec, Application Data"
"26","0.254129004","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4007:816::2003","TLSv1.3","178","Application Data"
"27","0.255249664","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4007:816::2003","TLSv1.3","387","Application Data"
"32","0.283107655","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4007:826::200d","TLSv1.3","603","Client Hello"
"33","0.294038733","2404:6800:4007:816::2003","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","694","Application Data, Application Data"
"35","0.294131967","2404:6800:4007:816::2003","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","117","Application Data"
"37","0.294215514","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4007:816::2003","TLSv1.3","117","Application Data"
"47","0.375861723","2404:6800:4007:826::200d","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","1294","Server Hello, Change Cipher Spec"
"51","0.380277934","2404:6800:4007:826::200d","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","334","Application Data"
"53","0.382504983","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4007:826::200d","TLSv1.3","150","Change Cipher Spec, Application Data"
"62","0.417469279","2404:6800:4007:826::200d","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","666","Application Data, Application Data"
"91","0.574535703","2404:6800:4007:816::2003","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","367","Application Data"
"93","0.574676345","2404:6800:4007:816::2003","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","117","Application Data"
"95","0.577995240","2404:6800:4007:816::2003","2401:4900:336e:c512:4483:aa80:d7d1:cdff","TLSv1.3","125","Application Data"
"97","0.578117755","2401:4900:336e:c512:4483:aa80:d7d1:cdff","2404:6800:4007:816::2003","TLSv1.3","125","Application Data"
"244","4.385882070","192.168.43.63","114.29.220.99","TLSv1.2","571","Client Hello"
"245","4.386488850","192.168.43.63","114.29.220.99","TLSv1.2","571","Client Hello"
"248","4.482435351","192.168.43.63","114.29.220.99","TLSv1.2","571","Client Hello"
"255","4.547468374","114.29.220.99","192.168.43.63","TLSv1.2","1224","Server Hello, Certificate"
"259","4.560371522","114.29.220.99","192.168.43.63","TLSv1.2","587","Certificate Status"
"261","4.561769825","114.29.220.99","192.168.43.63","TLSv1.2","396","Server Key Exchange, Server Hello Done"
"269","4.569755186","192.168.43.63","114.29.220.99","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"273","4.571072963","192.168.43.63","114.29.220.99","TLSv1.2","1112","Application Data"
"274","4.574648279","114.29.220.99","192.168.43.63","TLSv1.2","1224","Server Hello, Certificate"
"278","4.576127402","114.29.220.99","192.168.43.63","TLSv1.2","587","Certificate Status"
"280","4.580301961","114.29.220.99","192.168.43.63","TLSv1.2","396","Server Key Exchange, Server Hello Done"
"282","4.585850473","192.168.43.63","114.29.220.99","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"289","4.661081899","114.29.220.99","192.168.43.63","TLSv1.2","1224","Server Hello, Certificate"
"293","4.665229467","114.29.220.99","192.168.43.63","TLSv1.2","587","Certificate Status"
"295","4.665355638","114.29.220.99","192.168.43.63","TLSv1.2","396","Server Key Exchange, Server Hello Done"
"297","4.667068434","192.168.43.63","114.29.220.99","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"300","4.728842487","114.29.220.99","192.168.43.63","TLSv1.2","60","Change Cipher Spec"
"302","4.728956943","114.29.220.99","192.168.43.63","TLSv1.2","99","Encrypted Handshake Message"
"306","4.733369198","114.29.220.99","192.168.43.63","TLSv1.2","60","Change Cipher Spec"
"308","4.734459843","114.29.220.99","192.168.43.63","TLSv1.2","99","Encrypted Handshake Message"
"318","4.797761075","114.29.220.99","192.168.43.63","TLSv1.2","1384","Application Data"
"323","4.813587638","114.29.220.99","192.168.43.63","TLSv1.2","980","Application Data"
"324","4.813659741","114.29.220.99","192.168.43.63","TLSv1.2","88","Application Data"
"327","4.819317240","114.29.220.99","192.168.43.63","TLSv1.2","60","Change Cipher Spec"
"329","4.820614688","114.29.220.99","192.168.43.63","TLSv1.2","99","Encrypted Handshake Message"
"334","4.876832936","192.168.43.63","114.29.220.99","TLSv1.2","1229","Application Data"
"349","5.073741653","192.168.43.63","114.29.220.99","TLSv1.2","1006","Application Data"
"360","5.270719668","114.29.220.99","192.168.43.63","TLSv1.2","1384","Application Data"
"363","5.274629283","114.29.220.99","192.168.43.63","TLSv1.2","341","Application Data"
"368","5.280397295","114.29.220.99","192.168.43.63","TLSv1.2","350","Application Data"
"377","5.298709498","114.29.220.99","192.168.43.63","TLSv1.2","1384","Application Data"
