"No.","Time","Source","Destination","Protocol","Length","Info"
"11","0.924765618","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"16","1.536065806","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2404:6800:4007:82b::200e","TLSv1.2","1493","Application Data, Application Data, Application Data"
"17","2.007463160","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"19","3.010786441","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"21","3.011543559","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"25","3.495154889","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"27","3.625171514","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"29","3.744185952","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"31","3.802699522","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"33","3.806945970","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data, Application Data"
"35","3.808089518","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"37","3.810349618","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"39","3.810438515","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"43","3.814958676","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"48","3.819581852","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"52","3.823261535","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1434","Application Data [TCP segment of a reassembled PDU]"
"57","3.825536181","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","1031","Application Data, Application Data"
"242","3.966481434","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","125","Application Data"
"251","3.966958827","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","125","[TCP Spurious Retransmission] , Application Data"
"253","3.966959248","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","105","[TCP Spurious Retransmission] , Application Data"
"256","3.967081463","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TCP","1434","[TCP Spurious Retransmission]  [TCP segment of a reassembled PDU]"
"258","3.967081968","2606:4700::6812:acf","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","105","[TCP Spurious Retransmission] , Ignored Unknown Record"
"269","3.968364451","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","125","[TCP Spurious Retransmission] , Application Data"
"272","3.968476114","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","125","[TCP Spurious Retransmission] , Application Data"
"279","3.970099725","192.168.42.57","23.111.9.35","TLSv1.2","571","Client Hello"
"282","3.971079430","192.168.42.57","23.111.9.35","TLSv1.2","571","Client Hello"
"300","3.974976044","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","125","[TCP Spurious Retransmission] , Application Data"
"420","4.143166231","23.111.9.35","192.168.42.57","TLSv1.2","1514","Server Hello"
"424","4.183121584","23.111.9.35","192.168.42.57","TLSv1.2","1514","Server Hello"
"450","4.311075732","23.111.9.35","192.168.42.57","TLSv1.2","1514","Certificate [TCP segment of a reassembled PDU]"
"463","4.386123757","23.111.9.35","192.168.42.57","TLSv1.2","1514","Certificate [TCP segment of a reassembled PDU]"
"482","4.471247999","23.111.9.35","192.168.42.57","TLSv1.2","446","Certificate Status, Server Key Exchange, Server Hello Done"
"484","4.481689193","192.168.42.57","23.111.9.35","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"485","4.482107248","192.168.42.57","23.111.9.35","TLSv1.2","153","Application Data"
"526","4.594898128","23.111.9.35","192.168.42.57","TLSv1.2","446","Certificate Status, Server Key Exchange, Server Hello Done"
"528","4.595443448","192.168.42.57","23.111.9.35","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"547","4.662326583","192.168.42.57","23.111.9.35","TLSv1.2","449","Application Data"
"549","4.662412263","23.111.9.35","192.168.42.57","TLSv1.2","312","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"551","4.662494610","23.111.9.35","192.168.42.57","TLSv1.2","132","Application Data"
"553","4.662813258","192.168.42.57","23.111.9.35","TLSv1.2","92","Application Data"
"607","4.801886742","23.111.9.35","192.168.42.57","TLSv1.2","312","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"609","4.801969804","23.111.9.35","192.168.42.57","TLSv1.2","123","Application Data"
"856","5.185702189","192.168.42.57","23.111.9.35","TLSv1.2","193","Application Data"
"858","5.185731173","192.168.42.57","23.111.9.35","TLSv1.2","146","Application Data"
"918","5.242151251","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","168","Application Data"
"922","5.249840077","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","562","Application Data"
"924","5.249922557","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","187","Application Data"
"926","5.250000699","2404:6800:4007:82b::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.2","125","[TCP Previous segment not captured] , Application Data"
"932","5.251155547","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2404:6800:4007:82b::200e","TLSv1.2","125","Application Data"
"962","5.267215588","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2606:4700::6810:125e","TLSv1.3","591","Client Hello"
"1108","5.542882834","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Server Hello, Change Cipher Spec"
"1111","5.554137748","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","712","Application Data"
"1113","5.554645609","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2606:4700::6810:125e","TLSv1.3","138","Change Cipher Spec, Application Data"
"1119","5.555560306","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2606:4700::6810:125e","TLSv1.3","166","Application Data"
"1120","5.555713675","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2606:4700::6810:125e","TLSv1.3","528","Application Data"
"1175","5.628613058","23.111.9.35","192.168.42.57","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1370","5.756821950","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","611","Application Data, Application Data"
"1375","5.757027207","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","105","Application Data"
"1377","5.757846307","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","2606:4700::6810:125e","TLSv1.3","105","Application Data"
"1381","5.791796689","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","105","Application Data"
"1385","5.791976060","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1387","5.792039918","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1389","5.792078306","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1391","5.792158331","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1393","5.792888700","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1395","5.792989215","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1397","5.794074512","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1399","5.795250721","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1401","5.796163085","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1402","5.797379136","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1405","5.806569310","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1409","5.806856306","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1411","5.806899057","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1412","5.806980801","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1413","5.807056258","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1414","5.807150595","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1415","5.807221159","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1416","5.807315399","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
"1417","5.807390920","2606:4700::6810:125e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1434","Application Data [TCP segment of a reassembled PDU]"
