"No.","Time","Source","Destination","Protocol","Length","Info"
"3","1.339396458","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2a03:2880:f268:c1:face:b00c:0:167","TLSv1.2","117","Application Data"
"5","2.046870984","2a03:2880:f268:c1:face:b00c:0:167","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.2","124","Application Data"
"9","4.913429243","2a03:2880:f268:c1:face:b00c:0:167","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.2","185","Application Data"
"152","10.955058597","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2606:4700::6810:125e","TLSv1.3","626","Client Hello"
"174","11.159039185","2606:4700::6810:125e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","286","Server Hello, Change Cipher Spec, Application Data"
"184","11.160777930","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2606:4700::6812:acf","TLSv1.3","629","Client Hello"
"191","11.169874662","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2606:4700::6810:125e","TLSv1.3","138","Change Cipher Spec, Application Data"
"198","11.300460968","2606:4700::6812:acf","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","286","Server Hello, Change Cipher Spec, Application Data"
"200","11.311201947","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2606:4700::6812:acf","TLSv1.3","138","Change Cipher Spec, Application Data"
"210","11.960021836","2606:4700::6810:125e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","602","Application Data, Application Data"
"225","12.094140633","2606:4700::6812:acf","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","602","Application Data, Application Data"
"230","12.115985376","35.227.247.230","192.168.43.63","TLSv1.2","139","Application Data"
"233","12.116384739","35.244.159.8","192.168.43.63","TLSv1.2","139","Application Data"
"238","12.117472571","2606:4700::6812:acf","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","602","[TCP Spurious Retransmission] , Application Data, Application Data"
"244","12.126437889","2606:4700::6810:125e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","602","[TCP Spurious Retransmission] , Application Data, Application Data"
"335","13.381455152","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","671","Client Hello"
"357","13.524342096","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","671","Client Hello"
"360","13.668003756","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","298","Server Hello, Change Cipher Spec, Application Data"
"363","13.670148890","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","150","Change Cipher Spec, Application Data"
"366","13.671011014","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","178","Application Data"
"367","13.671096765","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","735","Application Data"
"369","13.671622167","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","207","Application Data"
"372","13.829802670","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","298","Server Hello, Change Cipher Spec, Application Data"
"374","13.830136632","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","150","Change Cipher Spec, Application Data"
"376","13.880761525","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","694","Application Data, Application Data"
"378","13.880924307","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","117","Application Data"
"379","13.882119235","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","117","Application Data"
"384","13.939152593","2a03:2880:f268:c1:face:b00c:0:167","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.2","193","Application Data"
"388","13.942636230","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","579","Application Data"
"390","13.944176418","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","774","Application Data"
"392","13.944286853","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","139","Application Data"
"394","13.945876961","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","361","Application Data"
"396","13.945999404","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","125","Application Data"
"398","13.946458419","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","2404:6800:4007:810::200e","TLSv1.3","125","Application Data"
"401","13.955970139","2404:6800:4007:810::200e","2401:4900:336e:c512:f0c3:5fcb:e314:92cc","TLSv1.3","694","Application Data, Application Data"
"616","16.981261758","192.168.43.63","13.234.159.72","TLSv1.2","583","Client Hello"
"659","17.037165721","192.168.43.63","13.234.159.72","TLSv1.2","583","Client Hello"
"684","17.059165140","13.234.159.72","192.168.43.63","TLSv1.2","1514","Server Hello"
"697","17.074080886","13.234.159.72","192.168.43.63","TLSv1.2","680","Certificate, Server Key Exchange, Server Hello Done"
"701","17.078898469","192.168.43.63","13.234.159.72","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"702","17.079561089","192.168.43.63","13.234.159.72","TLSv1.2","785","Application Data"
"808","17.711625011","13.234.159.72","192.168.43.63","TLSv1.2","1514","Server Hello"
"814","17.717082170","13.234.159.72","192.168.43.63","TCP","680","[TCP Previous segment not captured] 443  >  48116 [PSH, ACK] Seq=5545 Ack=518 Win=28032 Len=614 TSval=3064009972 TSecr=279813140 [TCP segment of a reassembled PDU], Server Key Exchange, Server Hello Done"
"818","17.719329685","13.234.159.72","192.168.43.63","TLSv1.2","340","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"820","17.719691439","192.168.43.63","13.234.159.72","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"858","17.835492655","13.234.159.72","192.168.43.63","TCP","680","[TCP Spurious Retransmission] 443  >  48116 [PSH, ACK] Seq=5545 Ack=518 Win=28032 Len=614 TSval=3064010048 TSecr=279813140 [TCP segment of a reassembled PDU], Server Key Exchange, Server Hello Done"
"922","17.953152275","13.234.159.72","192.168.43.63","TLSv1.2","340","[TCP Spurious Retransmission] , Encrypted Handshake Message, Change Cipher Spec, Encrypted Handshake Message"
"1000","18.392339178","13.234.159.72","192.168.43.63","TLSv1.2","1514","[TCP Spurious Retransmission] , Server Hello"
"1044","18.475361099","13.234.159.72","192.168.43.63","TLSv1.2","340","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"1082","18.534529549","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1086","18.537373411","192.168.43.63","13.234.159.72","TLSv1.2","785","Application Data"
"1091","18.547331929","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1095","18.553931513","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1387","19.476562202","13.234.159.72","192.168.43.63","TLSv1.2","1514","Ignored Unknown Record"
"1389","19.476814919","13.234.159.72","192.168.43.63","TLSv1.2","1514","Ignored Unknown Record"
"1391","19.486083782","13.234.159.72","192.168.43.63","TLSv1.2","1514","Ignored Unknown Record"
"1392","19.486227286","13.234.159.72","192.168.43.63","TLSv1.2","1379","[TCP Previous segment not captured] , Ignored Unknown Record"
"1404","19.500360641","192.168.43.63","13.234.159.72","TLSv1.2","661","Application Data"
"1452","19.550134854","192.168.43.63","13.234.159.72","TLSv1.2","584","Client Hello"
"1473","19.576899333","13.234.159.72","192.168.43.63","TCP","1514","443  >  48116 [ACK] Seq=6433 Ack=1363 Win=29440 Len=1448 TSval=3064010479 TSecr=279814640 [TCP segment of a reassembled PDU]"
"1475","19.578709820","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1483","19.587739437","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1487","19.600541842","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1604","19.736513040","13.234.159.72","192.168.43.63","TLSv1.2","1514","[TCP Spurious Retransmission] , Ignored Unknown Record"
"1609","19.747050187","13.234.159.72","192.168.43.63","TLSv1.2","1514","[TCP Spurious Retransmission] , Ignored Unknown Record"
"1611","19.747183938","13.234.159.72","192.168.43.63","TLSv1.2","1514","[TCP Spurious Retransmission] , Ignored Unknown Record"
"1614","19.749008179","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data"
"1624","19.758131790","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1626","19.758384975","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1636","19.769448592","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data, Application Data"
"1646","19.789594092","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1648","19.790977140","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1655","19.797321831","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1657","19.801294887","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1663","19.809871513","13.234.159.72","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1672","19.812209411","13.234.159.72","192.168.43.63","TLSv1.2","218","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
